sid,name,state,pre_avg,post_avg,delta,pre_n_avg,asn_share,asn_pre,asn_post,asn_delta,wht_pre,wht_post,wht_delta,ecd_pre,ecd_post,ecd_delta
3401500,Bergenfield Borough School District,NJ,0.5949634782299341,0.4534596016787686,-0.14150387655116553,257.3333333333333,0.2771007055805003,0.9764143298768077,0.9243705207705561,-0.052043809106251504,0.7835121616011711,0.3731502744643972,-0.4103618871367739,0.2661063578960727,0.20689651284500532,-0.059209845051067356
3405640,Freehold Township School District,NJ,0.5298010841285143,0.38904848137640413,-0.1407526027521102,406.8888888888889,0.07008964955175224,0.8339289580582168,0.906906298004609,0.07297733994639222,0.5955341425527094,0.4229184141900431,-0.1726157283626663,-0.21774709051131333,-0.13617275205475307,0.08157433845656026
601860,Albany City Unified,CA,0.6963607788837093,0.5580380351465085,-0.13832274373720077,260.875,0.0,,0.6251190779995314,,0.9153749029688485,0.7321731309406625,-0.183201772028186,0.2204414826295248,0.14092731394021535,-0.07951416868930944
1201350,Nassau,FL,0.5047557661255824,0.3680209158294911,-0.13673485029609128,860.2222222222222,0.0,,,,0.5584975708153546,0.43084931930793685,-0.1276482515074177,0.29516856652285123,0.1486762286252469,-0.14649233789760432
2006330,Fort Leavenworth,KS,0.7275448013337641,0.5913945280084609,-0.13615027332530316,179.75,0.0,,,,0.8228849325624054,0.6914815281949954,-0.13140340436740994,,,
3403000,Cherry Hill School District,NJ,0.5900149338058598,0.45436367093562374,-0.13565126287023604,792.2222222222222,0.17108894077690512,0.8343264074556679,0.770265707138963,-0.06406070031670485,0.697383223548086,0.5830559798479372,-0.1143272437001488,0.04209165848741871,-0.09971061343739253,-0.14180227192481124
625770,Moreland,CA,0.5501654940579814,0.41503724811790393,-0.1351282459400775,520.4444444444445,0.3471953578336557,1.2005639264953438,1.1878335283529302,-0.012730398142413613,0.8277777775911621,0.6166554678548379,-0.21112230973632418,-0.30616902094715226,-0.34719259548665504,-0.04102357453950278
400241,Paragon Management Inc. (5180),AZ,0.547707616063676,0.41276131273933486,-0.13494630332434115,196.11111111111111,0.0,,,,0.5828841937469647,0.45563124044123055,-0.1272529533057341,0.3969638178500131,0.06208195963433667,-0.33488185821567645
3904579,Shawnee Local,OH,0.5610153878756224,0.42642239155952627,-0.13459299631609617,204.0,0.0,,,,0.6133944322759146,0.4858621397241368,-0.12753229255177784,0.18607546550393764,-0.05274123660212743,-0.23881670210606507
602970,Arcadia Unified,CA,0.798350371940082,0.664588743024737,-0.13376162891534493,646.0,0.6911339121283873,1.0254467777246399,0.8814514366569477,-0.14399534106769218,0.54638160550538,0.49314342536450934,-0.05323818014087062,0.3586911240614052,0.30254109653262107,-0.05615002752878412
3904493,Upper Arlington City,OH,0.7440534074329331,0.6127751379332081,-0.131278269499725,464.0,0.08267997148966501,0.6494832552480544,0.9605174962463479,0.31103424099829347,0.7490348901176208,0.6044455749537355,-0.1445893151638853,,0.2131819225799027,
4204890,Canon-McMillan SD,PA,0.5085373168575233,0.377614988336616,-0.13092232852090735,403.77777777777777,0.0,,,,0.5538065717500502,0.4257575509181821,-0.1280490208318681,0.12512679351281156,-0.002538714598170617,-0.12766550811098218
3417100,Robbinsville Public School District,NJ,0.5593043658990444,0.42857921551434375,-0.13072515038470067,236.44444444444446,0.35825105782792666,0.7586368637232158,0.6944067583957457,-0.06423010532747009,0.49234687804279986,0.23350569591508544,-0.25884118212771445,,-0.16189756484113318,
400608,BASIS Charter Schools Inc. (81078),AZ,0.8601466347279468,0.7299302725667753,-0.1302163621611715,166.5,0.5723172628304821,0.9760545925888702,0.8107804142940293,-0.16527417829484092,0.7582708663147029,0.5985137169937512,-0.15975714932095164,,,
600032,Redondo Beach Unified,CA,0.7131693803241459,0.5834073824071294,-0.12976199791701648,749.7777777777778,0.12605979473449352,1.029240372006657,0.9053434965151864,-0.12389687549147055,0.8086792613391978,0.6295359519509769,-0.17914330938822087,0.18918914605233106,0.10363138113863744,-0.08555776491369362
100008,Madison City,AL,0.7137452977238853,0.5840036978701223,-0.129741599853763,744.5555555555555,0.08109904719698649,1.1148052673268,,,0.8937157280392012,,,0.07134842815766791,-0.014694699990336712,-0.08604312814800462
1801200,Carmel Clay Schools,IN,0.8864138419396969,0.756863242662773,-0.1295505992769238,1208.7777777777778,0.1562800935479433,1.3578180093620171,1.204033569267545,-0.15378444009447212,0.8468029220648415,0.7398083351121466,-0.10699458695269493,0.14824931741291397,0.049529345820331284,-0.0987199715925827
2503300,Canton,MA,0.7010084881965473,0.5725544899660414,-0.12845399823050585,260.77777777777777,0.12364563416188655,1.0709116031632877,0.7819030072984957,-0.289008595864792,0.7328679366827359,0.6542131689778469,-0.078654767704889,0.22726170698048737,-0.038463011969809634,-0.265724718950297
610620,Davis Joint Unified,CA,0.511151947820209,0.3843009112273277,-0.12685103659288133,598.8571428571429,0.0,,0.7344231547154211,,0.6994677047744801,0.5794356637185135,-0.12003204105596654,-0.32320483812508854,-0.34200422365440564,-0.018799385529317092
4211490,Harbor Creek SD,PA,0.7445642898049336,0.619717082715947,-0.12484720708898656,160.22222222222223,0.0,,,,0.7706755801505234,0.6532166352056098,-0.1174589449449136,0.4405390330879022,0.2196688281199034,-0.2208702049679988
2506990,Longmeadow,MA,0.7980159411240904,0.6732952753811358,-0.1247206657429546,212.77777777777777,0.04275534441805225,1.3340190121155615,0.8215483716796951,-0.5124706404358664,0.777413378651539,0.6820175605022989,-0.09539581814924014,0.4335168435544645,0.11193591427163298,-0.32158092928283155
